Abbott Xience 3.5 mm x 33 mm (7111841915317);08717648161896;7111841;2020-11-26;1
Abbott Xience PROX 2.5 mm x 12 mm (7102541915261);08717648164125;7102541;2020-11-09;1
Abbott Xience PROX 2.5 mm x 12 mm (7112141915413);08717648164125;7112141;2020-11-26;2
Abbott Xience PROX 2.5 mm x 15 mm (7082141916093);08717648164132;7082141;2020-08-30;1
Abbott Xience PROX 2.5 mm x 15 mm (7091241915424);08717648164132;7091241;2020-09-27;1
Abbott Xience PROX 2.5 mm x 18 mm (7090641916017);08717648164149;7090641;2020-09-12;1
Abbott Xience PROX 2.5 mm x 23 mm (7120241915553);08717648164156;7120241;2020-12-06;1
Abbott Xience PROX 2.5 mm x 28 mm (7112741915266);08717648164163;7112741;2020-12-03;1
Abbott Xience PROX 2.5 mm x 33 mm (7101341915258);08717648164170;7101341;2020-10-24;1
Abbott Xience PROX 3.0 mm 33 mm (7111741915649);08717648164378;7111741;2020-11-27;1
Abbott Xience PROX 3.0 mm x 12 mm (7102441915629);08717648164323;7102441;2020-11-01;2
Abbott Xience PROX 3.0 mm x 15 mm (8020541915666);08717648164330;8020541;2021-02-11;1
Abbott Xience PROX 3.0 mm x 18 mm (8030541915940);08717648164347;8030541;2021-03-14;1
Abbott Xience PROX 3.0 mm x 23 mm (7112241916038);08717648164354;7112241;2020-12-03;1
Abbott Xience PROX 3.0 mm x 38 mm (7102741916176);08717648164385;7102741;2020-11-09;1
Abbott Xience PROX 3.5 mm x 08 mm (7102641915417);08717648161834;7102641;2020-11-09;1
Abbott Xience PROX 3.5 mm x 12 mm (7102441915710);08717648161841;7102441;2020-10-30;2
Abbott Xience PROX 3.5 mm x 15 mm (7111641915945);08717648161858;7111641;2020-11-21;2
Abbott Xience PROX 3.5 mm x 18 mm (7111741915544);08717648161865;7111741;2020-11-26;1
Abbott Xience PROX 3.5 mm x 23 mm (7110741915848);08717648161872;7110741;2020-11-13;1
Abbott Xience PROX 3.5 mm x 38 mm (7111441915035);08717648161902;7111441;2020-11-20;1
Abbott Xience PROX 4.0 mm x 12 mm (7091541915175);08717648164477;7091541;2020-09-25;1
BioMatrix Alpha 2.5 x 09 mm (W17040482);08888893018690;W17040482;2019-04-26;1
BioMatrix Alpha 2.5 x 14 mm (W16040284D);08888893018706;W16040284D;2018-04-20;1
BioMatrix Alpha 2.5 x 14 mm (W17120176);08888893018706;W17120176;2019-12-13;2
BioMatrix Alpha 2.5 x 14 mm (W18030187);08888893018706;W18030187;2020-03-08;1
BioMatrix Alpha 2.50 x 19 mm (W18030458);08888893018713;W18030458;2020-04-02;1
BioMatrix Alpha 2.50 x 24 mm (W17110395);08888893018720;W17110395;2019-11-30;1
BioMatrix Alpha 2.50 x 29 mm (W18030468);08888893018737;W18030468;2020-04-02;1
BioMatrix Alpha 2.50 x 33 mm (W17020426D);08888893018744;W17020426D;2019-02-20;1
BioMatrix Alpha 3.00 x 09 mm (W16050393D);08888893018836;W16050393D;2018-06-06;1
BioMatrix Alpha 3.00 x 14 mm (W17100057);08888893018843;W17100057;2019-10-10;2
BioMatrix Alpha 3.00 x 14 mm (W17110102);08888893018843;W17110102;2019-11-07;1
BioMatrix Alpha 3.00 x 19 mm (W16040086D);08888893018850;W16040086D;2018-04-11;1
BioMatrix Alpha 3.00 x 19 mm (W18030449);08888893018850;W18030449;2020-04-02;1
BioMatrix Alpha 3.00 x 24 mm (W17110398);08888893018867;W17110398;2019-11-30;2
BioMatrix Alpha 3.00 x 29 mm (W17120378);08888893018874;W17120378;2019-12-26;1
BioMatrix Alpha 3.00 x 33 mm (W18010089);08888893018881;W18010089;2020-01-10;1
BioMatrix Alpha 3.00 x 36 mm (W17040481);08888893018898;W17040481;2019-04-26;1
BioMatrix Alpha 3.5 x 09 mm (W17030103);08888893018904;W17030103;2019-03-06;1
BioMatrix Alpha 3.5 x 14 mm (W17120379);08888893018911;W17120379;2019-12-26;2
BioMatrix Alpha 3.5 x 19 mm (W17030203);08888893018928;W17030203;2019-03-16;1
BioMatrix Alpha 3.5 x 19 mm (W17110511);08888893018928;W17110511;2019-12-05;1
BioMatrix Alpha 3.5 x 24 mm (W17110516);08888893018935;W17110516;2019-12-05;2
BioMatrix Alpha 3.5 x 33 mm (W17110099);08888893018959;W17110099;2019-11-07;2
BioMatrix Alpha 4.0 x 14 mm (W17110521);08888893018980;W17110521;2019-12-05;1
BioMatrix Alpha 4.00 x 19 mm (W17030331);08888893018997;W17030331;2019-03-22;2
BioFreedom 2.50 x 11 mm (W17040307);08888893014463;W17040307;2018-10-24;1
BioFreedom 2.50 x 14 mm (W16120110D);08888893014470;W16120110D;2018-12-15;1
BioFreedom 2.50 x 18 mm (W17040254Z);08888893014487;W17040254Z;2019-04-17;1
BioFreedom 2.50 x 24 mm (W17040267Z);08888893014494;W17040267Z;2019-04-17;1
BioFreedom 2.50 x 28 mm (W17070179Z);08888893014500;W17070179Z;2019-07-19;2
BioFreedom 3.00 x 11 mm (W16120348);08888893014623;W16120348;2018-06-27;1
BioFreedom 3.00 x 14 mm (W17020475);08888893014630;W17020475;2018-09-02;1
BioFreedom 3.00 x 18 mm (W16120329);08888893014647;W16120329;2018-06-27;1
BioFreedom 3.00 x 24 mm (W17100301H);08888893014654;W17100301H;2019-04-30;1
BioFreedom 3.00 x 28 mm (W17100337H);08888893014661;W17100337H;2019-05-07;1
BioFreedom 3.50 x 11 mm (W18020336);08888893014708;W18020336;2020-02-26;2
BioFreedom 3.50 x 14 mm (W17030201Z);08888893014715;W17030201Z;2019-03-08;1
BioFreedom 3.50 x 18 mm (W17030316D);08888893014722;W17030316D;2019-03-22;1
BioFreedom 3.50 x 24 mm (W17090160);08888893014739;W17090160;2019-10-03;1
